date,vaccine,total_vaccinations,location
2021-05-03,Moderna,1477068,Switzerland
2021-05-04,Moderna,1516815,Switzerland
2021-05-05,Moderna,1561855,Switzerland
2021-05-06,Moderna,1617198,Switzerland
2021-05-07,Moderna,1673784,Switzerland
2021-05-08,Moderna,1699610,Switzerland
2021-05-09,Moderna,1710027,Switzerland
2021-05-10,Moderna,1758423,Switzerland
2021-05-11,Moderna,1816909,Switzerland
2021-05-12,Moderna,1877658,Switzerland
2021-05-13,Moderna,1906341,Switzerland
2021-05-14,Moderna,1958803,Switzerland
2021-05-15,Moderna,1988307,Switzerland
2021-05-16,Moderna,1999932,Switzerland
2021-05-17,Moderna,2051321,Switzerland
2021-05-18,Moderna,2114710,Switzerland
2021-05-19,Moderna,2183043,Switzerland
2021-05-20,Moderna,2258618,Switzerland
2021-05-21,Moderna,2327108,Switzerland
2021-05-22,Moderna,2360929,Switzerland
2021-05-23,Moderna,2374913,Switzerland
2021-05-24,Moderna,2409167,Switzerland
2021-05-25,Moderna,2475383,Switzerland
2021-05-26,Moderna,2546836,Switzerland
2021-05-27,Moderna,2623206,Switzerland
2021-05-28,Moderna,2695750,Switzerland
2021-05-29,Moderna,2734339,Switzerland
2021-05-30,Moderna,2749927,Switzerland
2021-05-31,Moderna,2809593,Switzerland
2021-06-01,Moderna,2883058,Switzerland
2021-06-02,Moderna,2965123,Switzerland
2021-06-03,Moderna,3044478,Switzerland
2021-06-04,Moderna,3130723,Switzerland
2021-06-05,Moderna,3186482,Switzerland
2021-06-06,Moderna,3206640,Switzerland
2021-06-07,Moderna,3285359,Switzerland
2021-06-08,Moderna,3373193,Switzerland
2021-06-09,Moderna,3462046,Switzerland
2021-06-10,Moderna,3546151,Switzerland
2021-06-11,Moderna,3629696,Switzerland
2021-06-12,Moderna,3683374,Switzerland
2021-06-13,Moderna,3702689,Switzerland
2021-06-14,Moderna,3779224,Switzerland
2021-06-15,Moderna,3863055,Switzerland
2021-06-16,Moderna,3948339,Switzerland
2021-06-17,Moderna,4036719,Switzerland
2021-06-18,Moderna,4119734,Switzerland
2021-06-19,Moderna,4167420,Switzerland
2021-06-20,Moderna,4183411,Switzerland
2021-06-21,Moderna,4254689,Switzerland
2021-06-22,Moderna,4331298,Switzerland
2021-06-23,Moderna,4406669,Switzerland
2021-06-24,Moderna,4480389,Switzerland
2021-06-25,Moderna,4550868,Switzerland
2021-06-26,Moderna,4591530,Switzerland
2021-06-27,Moderna,4605063,Switzerland
2021-06-28,Moderna,4667590,Switzerland
2021-06-29,Moderna,4732801,Switzerland
