location,date,vaccine,total_vaccinations
Portugal,2021-07-16,Moderna,1152831
Portugal,2021-07-16,Oxford/AstraZeneca,2034488
Portugal,2021-07-16,Pfizer/BioNTech,7473433
Portugal,2021-07-23,Johnson&Johnson,585670
Portugal,2021-07-23,Moderna,1245830
Portugal,2021-07-23,Oxford/AstraZeneca,2096504
Portugal,2021-07-23,Pfizer/BioNTech,7854633
Portugal,2021-07-30,Johnson&Johnson,687972
Portugal,2021-07-30,Moderna,1320017
Portugal,2021-07-30,Oxford/AstraZeneca,2153755
Portugal,2021-07-30,Pfizer/BioNTech,8225241
Portugal,2021-08-06,Johnson&Johnson,804999
Portugal,2021-08-06,Moderna,1394349
Portugal,2021-08-06,Oxford/AstraZeneca,2176734
Portugal,2021-08-06,Pfizer/BioNTech,8645399
Portugal,2021-08-13,Johnson&Johnson,947582
Portugal,2021-08-13,Moderna,1502152
Portugal,2021-08-13,Oxford/AstraZeneca,2189062
Portugal,2021-08-13,Pfizer/BioNTech,8908374
Portugal,2021-08-20,Johnson&Johnson,1056513
Portugal,2021-08-20,Moderna,1582973
Portugal,2021-08-20,Oxford/AstraZeneca,2195585
Portugal,2021-08-20,Pfizer/BioNTech,9135095
Portugal,2021-08-27,Johnson&Johnson,1097773
Portugal,2021-08-27,Moderna,1668899
Portugal,2021-08-27,Oxford/AstraZeneca,2200430
Portugal,2021-08-27,Pfizer/BioNTech,9300953
Portugal,2021-09-03,Johnson&Johnson,1113482
Portugal,2021-09-03,Moderna,1763174
Portugal,2021-09-03,Oxford/AstraZeneca,2203725
Portugal,2021-09-03,Pfizer/BioNTech,9467167
Portugal,2021-09-10,Johnson&Johnson,1117174
Portugal,2021-09-10,Moderna,1810771
Portugal,2021-09-10,Oxford/AstraZeneca,2204998
Portugal,2021-09-10,Pfizer/BioNTech,9610000
Portugal,2021-09-17,Johnson&Johnson,1120065
Portugal,2021-09-17,Moderna,1857065
Portugal,2021-09-17,Oxford/AstraZeneca,2208219
Portugal,2021-09-17,Pfizer/BioNTech,9723079
Portugal,2021-09-24,Johnson&Johnson,1121901
Portugal,2021-09-24,Moderna,1905457
Portugal,2021-09-24,Oxford/AstraZeneca,2211708
Portugal,2021-09-24,Pfizer/BioNTech,9761222
Portugal,2021-10-01,Johnson&Johnson,1123439
Portugal,2021-10-01,Moderna,1939753
Portugal,2021-10-01,Oxford/AstraZeneca,2214016
Portugal,2021-10-01,Pfizer/BioNTech,9784880
Portugal,2021-10-08,Johnson&Johnson,1125550
Portugal,2021-10-08,Moderna,1967036
Portugal,2021-10-08,Oxford/AstraZeneca,2215742
Portugal,2021-10-08,Pfizer/BioNTech,9799329
Portugal,2021-10-15,Johnson&Johnson,1125753
Portugal,2021-10-15,Moderna,1990697
Portugal,2021-10-15,Oxford/AstraZeneca,2216976
Portugal,2021-10-15,Pfizer/BioNTech,9848110
Portugal,2021-10-22,Johnson&Johnson,1125911
Portugal,2021-10-22,Moderna,2005146
Portugal,2021-10-22,Oxford/AstraZeneca,2218319
Portugal,2021-10-22,Pfizer/BioNTech,9984271
Portugal,2021-10-29,Johnson&Johnson,1125995
Portugal,2021-10-29,Moderna,2015500
Portugal,2021-10-29,Oxford/AstraZeneca,2219374
Portugal,2021-10-29,Pfizer/BioNTech,10114759
Portugal,2021-11-05,Johnson&Johnson,1126034
Portugal,2021-11-05,Moderna,2020819
Portugal,2021-11-05,Oxford/AstraZeneca,2219533
Portugal,2021-11-05,Pfizer/BioNTech,10237379
Portugal,2021-11-12,Johnson&Johnson,1126077
Portugal,2021-11-12,Moderna,2033692
Portugal,2021-11-12,Oxford/AstraZeneca,2219625
Portugal,2021-11-12,Pfizer/BioNTech,10421815
Portugal,2021-11-19,Johnson&Johnson,1126089
Portugal,2021-11-19,Moderna,2050173
Portugal,2021-11-19,Oxford/AstraZeneca,2219808
Portugal,2021-11-19,Pfizer/BioNTech,10681884
Portugal,2021-11-26,Johnson&Johnson,1126108
Portugal,2021-11-26,Moderna,2078323
Portugal,2021-11-26,Oxford/AstraZeneca,2219952
Portugal,2021-11-26,Pfizer/BioNTech,11106082
