date,vaccine,total_vaccinations,location
2021-03-26,Johnson&Johnson,4872,South Korea
2021-03-26,Moderna,17061,South Korea
2021-03-26,Oxford/AstraZeneca,740551,South Korea
2021-03-26,Pfizer/BioNTech,81874,South Korea
2021-03-27,Johnson&Johnson,4893,South Korea
2021-03-27,Moderna,17300,South Korea
2021-03-27,Oxford/AstraZeneca,742272,South Korea
2021-03-27,Pfizer/BioNTech,82359,South Korea
2021-03-28,Johnson&Johnson,4900,South Korea
2021-03-28,Moderna,17434,South Korea
2021-03-28,Oxford/AstraZeneca,742621,South Korea
2021-03-28,Pfizer/BioNTech,82677,South Korea
2021-03-29,Johnson&Johnson,4919,South Korea
2021-03-29,Moderna,17699,South Korea
2021-03-29,Oxford/AstraZeneca,768640,South Korea
2021-03-29,Pfizer/BioNTech,84200,South Korea
2021-03-30,Johnson&Johnson,4955,South Korea
2021-03-30,Moderna,18135,South Korea
2021-03-30,Oxford/AstraZeneca,796508,South Korea
2021-03-30,Pfizer/BioNTech,86965,South Korea
2021-03-31,Johnson&Johnson,4998,South Korea
2021-03-31,Moderna,18515,South Korea
2021-03-31,Oxford/AstraZeneca,819268,South Korea
2021-03-31,Pfizer/BioNTech,92586,South Korea
2021-04-01,Johnson&Johnson,5097,South Korea
2021-04-01,Moderna,18973,South Korea
2021-04-01,Oxford/AstraZeneca,837055,South Korea
2021-04-01,Pfizer/BioNTech,119567,South Korea
2021-04-02,Johnson&Johnson,5641,South Korea
2021-04-02,Moderna,19350,South Korea
2021-04-02,Oxford/AstraZeneca,856268,South Korea
2021-04-02,Pfizer/BioNTech,146743,South Korea
2021-04-03,Johnson&Johnson,5713,South Korea
2021-04-03,Moderna,19595,South Korea
2021-04-03,Oxford/AstraZeneca,858873,South Korea
2021-04-03,Pfizer/BioNTech,153950,South Korea
2021-04-04,Johnson&Johnson,5749,South Korea
2021-04-04,Moderna,19719,South Korea
2021-04-04,Oxford/AstraZeneca,859088,South Korea
2021-04-04,Pfizer/BioNTech,154879,South Korea
2021-04-05,Johnson&Johnson,6769,South Korea
2021-04-05,Moderna,20040,South Korea
2021-04-05,Oxford/AstraZeneca,872853,South Korea
2021-04-05,Pfizer/BioNTech,178052,South Korea
2021-04-06,Johnson&Johnson,7645,South Korea
2021-04-06,Moderna,20685,South Korea
2021-04-06,Oxford/AstraZeneca,888395,South Korea
2021-04-06,Pfizer/BioNTech,207019,South Korea
2021-04-07,Johnson&Johnson,8935,South Korea
2021-04-07,Moderna,21070,South Korea
2021-04-07,Oxford/AstraZeneca,904623,South Korea
2021-04-07,Pfizer/BioNTech,237975,South Korea
2021-04-08,Johnson&Johnson,10231,South Korea
2021-04-08,Moderna,21743,South Korea
2021-04-08,Oxford/AstraZeneca,911878,South Korea
2021-04-08,Pfizer/BioNTech,278102,South Korea
2021-04-09,Johnson&Johnson,11745,South Korea
2021-04-09,Moderna,22267,South Korea
2021-04-09,Oxford/AstraZeneca,916256,South Korea
2021-04-09,Pfizer/BioNTech,315641,South Korea
2021-04-10,Johnson&Johnson,12407,South Korea
2021-04-10,Moderna,22561,South Korea
2021-04-10,Oxford/AstraZeneca,916986,South Korea
2021-04-10,Pfizer/BioNTech,325653,South Korea
2021-04-11,Johnson&Johnson,12476,South Korea
2021-04-11,Moderna,22711,South Korea
2021-04-11,Oxford/AstraZeneca,917169,South Korea
2021-04-11,Pfizer/BioNTech,326556,South Korea
2021-04-12,Johnson&Johnson,14109,South Korea
2021-04-12,Moderna,23113,South Korea
2021-04-12,Oxford/AstraZeneca,924673,South Korea
2021-04-12,Pfizer/BioNTech,357884,South Korea
2021-04-13,Johnson&Johnson,15111,South Korea
2021-04-13,Moderna,23504,South Korea
2021-04-13,Oxford/AstraZeneca,937632,South Korea
2021-04-13,Pfizer/BioNTech,389746,South Korea
2021-04-14,Johnson&Johnson,15118,South Korea
2021-04-14,Moderna,23999,South Korea
2021-04-14,Oxford/AstraZeneca,952420,South Korea
2021-04-14,Pfizer/BioNTech,421993,South Korea
2021-04-15,Johnson&Johnson,15122,South Korea
2021-04-15,Moderna,24489,South Korea
2021-04-15,Oxford/AstraZeneca,972664,South Korea
2021-04-15,Pfizer/BioNTech,495723,South Korea
2021-04-16,Johnson&Johnson,15138,South Korea
2021-04-16,Moderna,25036,South Korea
2021-04-16,Oxford/AstraZeneca,1000033,South Korea
2021-04-16,Pfizer/BioNTech,572570,South Korea
2021-04-17,Johnson&Johnson,15142,South Korea
2021-04-17,Moderna,25370,South Korea
2021-04-17,Oxford/AstraZeneca,1001599,South Korea
2021-04-17,Pfizer/BioNTech,601389,South Korea
2021-04-18,Johnson&Johnson,15146,South Korea
2021-04-18,Moderna,25544,South Korea
2021-04-18,Oxford/AstraZeneca,1001744,South Korea
2021-04-18,Pfizer/BioNTech,606815,South Korea
2021-04-19,Johnson&Johnson,15149,South Korea
2021-04-19,Moderna,25902,South Korea
2021-04-19,Oxford/AstraZeneca,1046016,South Korea
2021-04-19,Pfizer/BioNTech,685733,South Korea
2021-04-20,Johnson&Johnson,15152,South Korea
2021-04-20,Moderna,26396,South Korea
2021-04-20,Oxford/AstraZeneca,1095328,South Korea
2021-04-20,Pfizer/BioNTech,768068,South Korea
2021-04-21,Johnson&Johnson,15175,South Korea
2021-04-21,Moderna,26951,South Korea
2021-04-21,Oxford/AstraZeneca,1144030,South Korea
2021-04-21,Pfizer/BioNTech,852829,South Korea
2021-04-22,Johnson&Johnson,15177,South Korea
2021-04-22,Moderna,27556,South Korea
2021-04-22,Oxford/AstraZeneca,1198119,South Korea
2021-04-22,Pfizer/BioNTech,949735,South Korea
2021-04-23,Johnson&Johnson,15187,South Korea
2021-04-23,Moderna,28072,South Korea
2021-04-23,Oxford/AstraZeneca,1281825,South Korea
2021-04-23,Pfizer/BioNTech,1046360,South Korea
2021-04-24,Johnson&Johnson,15189,South Korea
2021-04-24,Moderna,28384,South Korea
2021-04-24,Oxford/AstraZeneca,1316337,South Korea
2021-04-24,Pfizer/BioNTech,1083616,South Korea
2021-04-25,Johnson&Johnson,15194,South Korea
2021-04-25,Moderna,28545,South Korea
2021-04-25,Oxford/AstraZeneca,1317887,South Korea
2021-04-25,Pfizer/BioNTech,1089646,South Korea
2021-04-26,Johnson&Johnson,15208,South Korea
2021-04-26,Moderna,28870,South Korea
2021-04-26,Oxford/AstraZeneca,1375740,South Korea
2021-04-26,Pfizer/BioNTech,1196362,South Korea
2021-04-27,Johnson&Johnson,15243,South Korea
2021-04-27,Moderna,29278,South Korea
2021-04-27,Oxford/AstraZeneca,1449441,South Korea
2021-04-27,Pfizer/BioNTech,1321482,South Korea
2021-04-28,Johnson&Johnson,15270,South Korea
2021-04-28,Moderna,29729,South Korea
2021-04-28,Oxford/AstraZeneca,1550250,South Korea
2021-04-28,Pfizer/BioNTech,1473122,South Korea
2021-04-29,Johnson&Johnson,15314,South Korea
2021-04-29,Moderna,30189,South Korea
2021-04-29,Oxford/AstraZeneca,1671859,South Korea
2021-04-29,Pfizer/BioNTech,1643502,South Korea
2021-04-30,Johnson&Johnson,16331,South Korea
2021-04-30,Moderna,30635,South Korea
2021-04-30,Oxford/AstraZeneca,1814579,South Korea
2021-04-30,Pfizer/BioNTech,1807813,South Korea
2021-05-01,Johnson&Johnson,16447,South Korea
2021-05-01,Moderna,30899,South Korea
2021-05-01,Oxford/AstraZeneca,1839070,South Korea
2021-05-01,Pfizer/BioNTech,1832314,South Korea
2021-05-02,Johnson&Johnson,16467,South Korea
2021-05-02,Moderna,31058,South Korea
2021-05-02,Oxford/AstraZeneca,1839960,South Korea
2021-05-02,Pfizer/BioNTech,1834473,South Korea
2021-05-03,Johnson&Johnson,17213,South Korea
2021-05-03,Moderna,31342,South Korea
2021-05-03,Oxford/AstraZeneca,1891194,South Korea
2021-05-03,Pfizer/BioNTech,1900589,South Korea
2021-05-04,Johnson&Johnson,17849,South Korea
2021-05-04,Moderna,31765,South Korea
2021-05-04,Oxford/AstraZeneca,1936076,South Korea
2021-05-04,Pfizer/BioNTech,1962661,South Korea
2021-05-05,Johnson&Johnson,17993,South Korea
2021-05-05,Moderna,32433,South Korea
2021-05-05,Oxford/AstraZeneca,1937191,South Korea
2021-05-05,Pfizer/BioNTech,1993503,South Korea
2021-05-06,Johnson&Johnson,18545,South Korea
2021-05-06,Moderna,32810,South Korea
2021-05-06,Oxford/AstraZeneca,1984881,South Korea
2021-05-06,Pfizer/BioNTech,2077833,South Korea
2021-05-07,Johnson&Johnson,19067,South Korea
2021-05-07,Moderna,33217,South Korea
2021-05-07,Oxford/AstraZeneca,2024402,South Korea
2021-05-07,Pfizer/BioNTech,2164297,South Korea
2021-05-08,Johnson&Johnson,19096,South Korea
2021-05-08,Moderna,33582,South Korea
2021-05-08,Oxford/AstraZeneca,2034525,South Korea
2021-05-08,Pfizer/BioNTech,2195421,South Korea
2021-05-09,Johnson&Johnson,19120,South Korea
2021-05-09,Moderna,33739,South Korea
2021-05-09,Oxford/AstraZeneca,2035033,South Korea
2021-05-09,Pfizer/BioNTech,2200822,South Korea
2021-05-10,Johnson&Johnson,19579,South Korea
2021-05-10,Moderna,34170,South Korea
2021-05-10,Oxford/AstraZeneca,2043054,South Korea
2021-05-10,Pfizer/BioNTech,2284830,South Korea
2021-05-11,Johnson&Johnson,19969,South Korea
2021-05-11,Moderna,34616,South Korea
2021-05-11,Oxford/AstraZeneca,2048004,South Korea
2021-05-11,Pfizer/BioNTech,2370018,South Korea
2021-05-12,Johnson&Johnson,20173,South Korea
2021-05-12,Moderna,35217,South Korea
2021-05-12,Oxford/AstraZeneca,2052262,South Korea
2021-05-12,Pfizer/BioNTech,2455787,South Korea
2021-05-13,Johnson&Johnson,20560,South Korea
2021-05-13,Moderna,35594,South Korea
2021-05-13,Oxford/AstraZeneca,2057067,South Korea
2021-05-13,Pfizer/BioNTech,2538983,South Korea
2021-05-14,Johnson&Johnson,20951,South Korea
2021-05-14,Moderna,36099,South Korea
2021-05-14,Oxford/AstraZeneca,2065358,South Korea
2021-05-14,Pfizer/BioNTech,2623167,South Korea
2021-05-15,Johnson&Johnson,21005,South Korea
2021-05-15,Moderna,36437,South Korea
2021-05-15,Oxford/AstraZeneca,2066754,South Korea
2021-05-15,Pfizer/BioNTech,2654794,South Korea
2021-05-16,Johnson&Johnson,21028,South Korea
2021-05-16,Moderna,36661,South Korea
2021-05-16,Oxford/AstraZeneca,2067453,South Korea
2021-05-16,Pfizer/BioNTech,2660542,South Korea
2021-05-17,Johnson&Johnson,21232,South Korea
2021-05-17,Moderna,36931,South Korea
2021-05-17,Oxford/AstraZeneca,2087055,South Korea
2021-05-17,Pfizer/BioNTech,2755520,South Korea
2021-05-18,Johnson&Johnson,21365,South Korea
2021-05-18,Moderna,37295,South Korea
2021-05-18,Oxford/AstraZeneca,2130997,South Korea
2021-05-18,Pfizer/BioNTech,2866255,South Korea
2021-05-19,Johnson&Johnson,21412,South Korea
2021-05-19,Moderna,37740,South Korea
2021-05-19,Oxford/AstraZeneca,2132694,South Korea
2021-05-19,Pfizer/BioNTech,2960455,South Korea
2021-05-20,Johnson&Johnson,21601,South Korea
2021-05-20,Moderna,38116,South Korea
2021-05-20,Oxford/AstraZeneca,2204175,South Korea
2021-05-20,Pfizer/BioNTech,3112393,South Korea
2021-05-21,Johnson&Johnson,21948,South Korea
2021-05-21,Moderna,38494,South Korea
2021-05-21,Oxford/AstraZeneca,2297108,South Korea
2021-05-21,Pfizer/BioNTech,3259629,South Korea
2021-05-22,Johnson&Johnson,22021,South Korea
2021-05-22,Moderna,38757,South Korea
2021-05-22,Oxford/AstraZeneca,2314450,South Korea
2021-05-22,Pfizer/BioNTech,3284389,South Korea
2021-05-23,Johnson&Johnson,22030,South Korea
2021-05-23,Moderna,38912,South Korea
2021-05-23,Oxford/AstraZeneca,2314998,South Korea
2021-05-23,Pfizer/BioNTech,3287575,South Korea
2021-05-24,Johnson&Johnson,22211,South Korea
2021-05-24,Moderna,39163,South Korea
2021-05-24,Oxford/AstraZeneca,2377340,South Korea
2021-05-24,Pfizer/BioNTech,3401960,South Korea
2021-05-25,Johnson&Johnson,22415,South Korea
2021-05-25,Moderna,39432,South Korea
2021-05-25,Oxford/AstraZeneca,2440977,South Korea
2021-05-25,Pfizer/BioNTech,3510766,South Korea
2021-05-26,Johnson&Johnson,22551,South Korea
2021-05-26,Moderna,39719,South Korea
2021-05-26,Oxford/AstraZeneca,2499028,South Korea
2021-05-26,Pfizer/BioNTech,3608775,South Korea
2021-05-27,Johnson&Johnson,22920,South Korea
2021-05-27,Moderna,39996,South Korea
2021-05-27,Oxford/AstraZeneca,3121619,South Korea
2021-05-27,Pfizer/BioNTech,3702759,South Korea
2021-05-28,Johnson&Johnson,22984,South Korea
2021-05-28,Moderna,40349,South Korea
2021-05-28,Oxford/AstraZeneca,3643659,South Korea
2021-05-28,Pfizer/BioNTech,3791096,South Korea
2021-05-29,Johnson&Johnson,23027,South Korea
2021-05-29,Moderna,40540,South Korea
2021-05-29,Oxford/AstraZeneca,3799812,South Korea
2021-05-29,Pfizer/BioNTech,3809674,South Korea
2021-05-30,Johnson&Johnson,23045,South Korea
2021-05-30,Moderna,40660,South Korea
2021-05-30,Oxford/AstraZeneca,3804635,South Korea
2021-05-30,Pfizer/BioNTech,3811030,South Korea
2021-05-31,Johnson&Johnson,23089,South Korea
2021-05-31,Moderna,40760,South Korea
2021-05-31,Oxford/AstraZeneca,4109143,South Korea
2021-05-31,Pfizer/BioNTech,3920807,South Korea
2021-06-01,Johnson&Johnson,23224,South Korea
2021-06-01,Moderna,41239,South Korea
2021-06-01,Oxford/AstraZeneca,4590576,South Korea
2021-06-01,Pfizer/BioNTech,4033585,South Korea
2021-06-02,Johnson&Johnson,23338,South Korea
2021-06-02,Moderna,41449,South Korea
2021-06-02,Oxford/AstraZeneca,4887941,South Korea
2021-06-02,Pfizer/BioNTech,4142483,South Korea
2021-06-03,Johnson&Johnson,23425,South Korea
2021-06-03,Moderna,42173,South Korea
2021-06-03,Oxford/AstraZeneca,5158557,South Korea
2021-06-03,Pfizer/BioNTech,4242051,South Korea
2021-06-04,Johnson&Johnson,23649,South Korea
2021-06-04,Moderna,42400,South Korea
2021-06-04,Oxford/AstraZeneca,5467486,South Korea
2021-06-04,Pfizer/BioNTech,4333261,South Korea
2021-06-05,Johnson&Johnson,23706,South Korea
2021-06-05,Moderna,42619,South Korea
2021-06-05,Oxford/AstraZeneca,5586129,South Korea
2021-06-05,Pfizer/BioNTech,4358468,South Korea
2021-06-06,Johnson&Johnson,23729,South Korea
2021-06-06,Moderna,42673,South Korea
2021-06-06,Oxford/AstraZeneca,5588873,South Korea
2021-06-06,Pfizer/BioNTech,4359883,South Korea
2021-06-07,Johnson&Johnson,23861,South Korea
2021-06-07,Moderna,42875,South Korea
2021-06-07,Oxford/AstraZeneca,6349744,South Korea
2021-06-07,Pfizer/BioNTech,4513900,South Korea
2021-06-08,Johnson&Johnson,23957,South Korea
2021-06-08,Moderna,43183,South Korea
2021-06-08,Oxford/AstraZeneca,6976742,South Korea
2021-06-08,Pfizer/BioNTech,4658690,South Korea
2021-06-09,Johnson&Johnson,24107,South Korea
2021-06-09,Moderna,43387,South Korea
2021-06-09,Oxford/AstraZeneca,7465185,South Korea
2021-06-09,Pfizer/BioNTech,4788161,South Korea
2021-06-10,Johnson&Johnson,277219,South Korea
2021-06-10,Moderna,43914,South Korea
2021-06-10,Oxford/AstraZeneca,7900588,South Korea
2021-06-10,Pfizer/BioNTech,4902225,South Korea
2021-06-11,Johnson&Johnson,479788,South Korea
2021-06-11,Moderna,44156,South Korea
2021-06-11,Oxford/AstraZeneca,8453845,South Korea
2021-06-11,Pfizer/BioNTech,5009455,South Korea
2021-06-12,Johnson&Johnson,594066,South Korea
2021-06-12,Moderna,44308,South Korea
2021-06-12,Oxford/AstraZeneca,8712813,South Korea
2021-06-12,Pfizer/BioNTech,5031798,South Korea
2021-06-13,Johnson&Johnson,605864,South Korea
2021-06-13,Moderna,44412,South Korea
2021-06-13,Oxford/AstraZeneca,8729052,South Korea
2021-06-13,Pfizer/BioNTech,5033229,South Korea
2021-06-14,Johnson&Johnson,778342,South Korea
2021-06-14,Moderna,44611,South Korea
2021-06-14,Oxford/AstraZeneca,9308178,South Korea
2021-06-14,Pfizer/BioNTech,5137127,South Korea
2021-06-15,Johnson&Johnson,891119,South Korea
2021-06-15,Moderna,44856,South Korea
2021-06-15,Oxford/AstraZeneca,9815416,South Korea
2021-06-15,Pfizer/BioNTech,5260693,South Korea
2021-06-16,Johnson&Johnson,1069398,South Korea
2021-06-16,Moderna,45011,South Korea
2021-06-16,Oxford/AstraZeneca,10181369,South Korea
2021-06-16,Pfizer/BioNTech,5389862,South Korea
2021-06-17,Johnson&Johnson,1095681,South Korea
2021-06-17,Moderna,45320,South Korea
2021-06-17,Oxford/AstraZeneca,10565970,South Korea
2021-06-17,Pfizer/BioNTech,5526034,South Korea
2021-06-18,Johnson&Johnson,1127024,South Korea
2021-06-18,Moderna,45794,South Korea
2021-06-18,Oxford/AstraZeneca,11031690,South Korea
