location,date,vaccine,total_vaccinations
Norway,2021-08-06,Pfizer/BioNTech,4821537
Norway,2021-08-13,Johnson&Johnson,4794
Norway,2021-08-13,Moderna,780533
Norway,2021-08-13,Oxford/AstraZeneca,145277
Norway,2021-08-13,Pfizer/BioNTech,5050911
Norway,2021-08-20,Johnson&Johnson,4909
Norway,2021-08-20,Moderna,854070
Norway,2021-08-20,Oxford/AstraZeneca,145314
Norway,2021-08-20,Pfizer/BioNTech,5352145
Norway,2021-08-27,Johnson&Johnson,5014
Norway,2021-08-27,Moderna,1042786
Norway,2021-08-27,Oxford/AstraZeneca,145371
Norway,2021-08-27,Pfizer/BioNTech,5623917
Norway,2021-09-03,Johnson&Johnson,5069
Norway,2021-09-03,Moderna,1256949
Norway,2021-09-03,Oxford/AstraZeneca,145402
Norway,2021-09-03,Pfizer/BioNTech,5718151
Norway,2021-09-10,Johnson&Johnson,5117
Norway,2021-09-10,Moderna,1387410
Norway,2021-09-10,Oxford/AstraZeneca,145441
Norway,2021-09-10,Pfizer/BioNTech,5769559
Norway,2021-09-17,Johnson&Johnson,5154
Norway,2021-09-17,Moderna,1450535
Norway,2021-09-17,Oxford/AstraZeneca,145454
Norway,2021-09-17,Pfizer/BioNTech,5806963
Norway,2021-09-24,Johnson&Johnson,5215
Norway,2021-09-24,Moderna,1488588
Norway,2021-09-24,Oxford/AstraZeneca,145463
Norway,2021-09-24,Pfizer/BioNTech,5836632
Norway,2021-10-01,Johnson&Johnson,5224
Norway,2021-10-01,Moderna,1516029
Norway,2021-10-01,Oxford/AstraZeneca,145472
Norway,2021-10-01,Pfizer/BioNTech,5864336
Norway,2021-10-08,Johnson&Johnson,5247
Norway,2021-10-08,Moderna,1527388
Norway,2021-10-08,Oxford/AstraZeneca,145483
Norway,2021-10-08,Pfizer/BioNTech,5884104
