location,date,vaccine,total_vaccinations
Ireland,2021-07-23,Pfizer/BioNTech,3763553
Ireland,2021-07-30,Johnson&Johnson,218308
Ireland,2021-07-30,Moderna,514368
Ireland,2021-07-30,Oxford/AstraZeneca,1188752
Ireland,2021-07-30,Pfizer/BioNTech,3997024
Ireland,2021-08-06,Johnson&Johnson,224364
Ireland,2021-08-06,Moderna,533736
Ireland,2021-08-06,Oxford/AstraZeneca,1190010
Ireland,2021-08-06,Pfizer/BioNTech,4165682
Ireland,2021-08-13,Johnson&Johnson,228264
Ireland,2021-08-13,Moderna,549330
Ireland,2021-08-13,Oxford/AstraZeneca,1190389
Ireland,2021-08-13,Pfizer/BioNTech,4325859
Ireland,2021-08-20,Johnson&Johnson,231335
Ireland,2021-08-20,Moderna,557105
Ireland,2021-08-20,Oxford/AstraZeneca,1191073
Ireland,2021-08-20,Pfizer/BioNTech,4468208
Ireland,2021-08-27,Johnson&Johnson,233228
Ireland,2021-08-27,Moderna,562539
Ireland,2021-08-27,Oxford/AstraZeneca,1191631
Ireland,2021-08-27,Pfizer/BioNTech,4559296
Ireland,2021-09-03,Johnson&Johnson,234139
Ireland,2021-09-03,Moderna,566626
Ireland,2021-09-03,Oxford/AstraZeneca,1191730
Ireland,2021-09-03,Pfizer/BioNTech,4615232
Ireland,2021-09-10,Johnson&Johnson,234819
Ireland,2021-09-10,Moderna,568106
Ireland,2021-09-10,Oxford/AstraZeneca,1191845
Ireland,2021-09-10,Pfizer/BioNTech,4648349
Ireland,2021-09-17,Johnson&Johnson,235323
Ireland,2021-09-17,Moderna,568565
Ireland,2021-09-17,Oxford/AstraZeneca,1191908
Ireland,2021-09-17,Pfizer/BioNTech,4676838
Ireland,2021-09-24,Johnson&Johnson,235749
Ireland,2021-09-24,Moderna,569115
Ireland,2021-09-24,Oxford/AstraZeneca,1191943
Ireland,2021-09-24,Pfizer/BioNTech,4699771
Ireland,2021-10-01,Johnson&Johnson,236118
Ireland,2021-10-01,Moderna,569315
Ireland,2021-10-01,Oxford/AstraZeneca,1191964
Ireland,2021-10-01,Pfizer/BioNTech,4727050
Ireland,2021-10-08,Johnson&Johnson,236337
Ireland,2021-10-08,Moderna,569387
Ireland,2021-10-08,Oxford/AstraZeneca,1191968
Ireland,2021-10-08,Pfizer/BioNTech,4797911
Ireland,2021-10-15,Johnson&Johnson,236402
Ireland,2021-10-15,Moderna,569442
Ireland,2021-10-15,Oxford/AstraZeneca,1191976
Ireland,2021-10-15,Pfizer/BioNTech,4872385
Ireland,2021-10-22,Johnson&Johnson,236424
Ireland,2021-10-22,Moderna,569466
Ireland,2021-10-22,Oxford/AstraZeneca,1191979
Ireland,2021-10-22,Pfizer/BioNTech,4934220
Ireland,2021-10-29,Johnson&Johnson,236435
Ireland,2021-10-29,Moderna,569473
Ireland,2021-10-29,Oxford/AstraZeneca,1191994
Ireland,2021-10-29,Pfizer/BioNTech,4976350
Ireland,2021-11-05,Johnson&Johnson,236454
Ireland,2021-11-05,Moderna,569477
Ireland,2021-11-05,Pfizer/BioNTech,5055474
Ireland,2021-11-12,Johnson&Johnson,236465
Ireland,2021-11-12,Moderna,569479
Ireland,2021-11-12,Pfizer/BioNTech,5215202
Ireland,2021-11-19,Johnson&Johnson,236485
Ireland,2021-11-19,Moderna,569482
Ireland,2021-11-19,Oxford/AstraZeneca,1191996
Ireland,2021-11-19,Pfizer/BioNTech,5405879
Ireland,2021-11-26,Johnson&Johnson,236522
Ireland,2021-11-26,Moderna,569484
Ireland,2021-11-26,Oxford/AstraZeneca,1191997
Ireland,2021-11-26,Pfizer/BioNTech,5617382
Ireland,2021-12-03,Johnson&Johnson,236544
Ireland,2021-12-03,Moderna,570208
Ireland,2021-12-03,Oxford/AstraZeneca,1192002
Ireland,2021-12-03,Pfizer/BioNTech,5832030
Ireland,2021-12-10,Johnson&Johnson,236563
Ireland,2021-12-10,Moderna,643728
Ireland,2021-12-10,Oxford/AstraZeneca,1192003
Ireland,2021-12-10,Pfizer/BioNTech,5980006
Ireland,2021-12-17,Moderna,655321
Ireland,2021-12-17,Oxford/AstraZeneca,1192004
Ireland,2021-12-17,Pfizer/BioNTech,5995989
