location,date,vaccine,total_vaccinations
Croatia,2021-07-30,Pfizer/BioNTech,2197722
Croatia,2021-08-06,Johnson&Johnson,56527
Croatia,2021-08-06,Moderna,307650
Croatia,2021-08-06,Oxford/AstraZeneca,546204
Croatia,2021-08-06,Pfizer/BioNTech,2228024
Croatia,2021-08-13,Johnson&Johnson,60366
Croatia,2021-08-13,Moderna,311417
Croatia,2021-08-13,Oxford/AstraZeneca,547527
Croatia,2021-08-13,Pfizer/BioNTech,2259160
Croatia,2021-08-20,Johnson&Johnson,64616
Croatia,2021-08-20,Moderna,313941
Croatia,2021-08-20,Oxford/AstraZeneca,548272
Croatia,2021-08-20,Pfizer/BioNTech,2291042
Croatia,2021-08-27,Johnson&Johnson,69583
Croatia,2021-08-27,Moderna,316924
Croatia,2021-08-27,Oxford/AstraZeneca,549631
Croatia,2021-08-27,Pfizer/BioNTech,2322918
Croatia,2021-09-03,Johnson&Johnson,75019
Croatia,2021-09-03,Moderna,318698
Croatia,2021-09-03,Oxford/AstraZeneca,550271
Croatia,2021-09-03,Pfizer/BioNTech,2348770
Croatia,2021-09-10,Johnson&Johnson,79055
Croatia,2021-09-10,Moderna,320819
Croatia,2021-09-10,Oxford/AstraZeneca,550817
Croatia,2021-09-10,Pfizer/BioNTech,2370614
Croatia,2021-09-17,Johnson&Johnson,85079
Croatia,2021-09-17,Moderna,322847
Croatia,2021-09-17,Oxford/AstraZeneca,551375
Croatia,2021-09-17,Pfizer/BioNTech,2395339
Croatia,2021-09-24,Johnson&Johnson,91084
Croatia,2021-09-24,Moderna,325393
Croatia,2021-09-24,Oxford/AstraZeneca,551869
Croatia,2021-09-24,Pfizer/BioNTech,2419894
Croatia,2021-10-01,Johnson&Johnson,91842
Croatia,2021-10-01,Moderna,325583
Croatia,2021-10-01,Oxford/AstraZeneca,551962
Croatia,2021-10-01,Pfizer/BioNTech,2422290
