date,total_vaccinations,vaccine,location
2021-06-09,5676952,Oxford/AstraZeneca,France
2021-06-10,5746955,Oxford/AstraZeneca,France
2021-06-11,5846054,Oxford/AstraZeneca,France
2021-06-12,5887930,Oxford/AstraZeneca,France
2021-06-13,5891952,Oxford/AstraZeneca,France
2021-06-14,5935500,Oxford/AstraZeneca,France
2021-06-15,6017389,Oxford/AstraZeneca,France
2021-06-16,6084264,Oxford/AstraZeneca,France
2021-06-17,6187602,Oxford/AstraZeneca,France
2021-06-18,6307286,Oxford/AstraZeneca,France
2021-06-19,6347432,Oxford/AstraZeneca,France
2021-06-20,6350919,Oxford/AstraZeneca,France
2021-06-21,6390845,Oxford/AstraZeneca,France
2021-06-22,6461825,Oxford/AstraZeneca,France
2021-06-23,6513508,Oxford/AstraZeneca,France
2021-06-24,6591935,Oxford/AstraZeneca,France
2021-06-25,6683237,Oxford/AstraZeneca,France
2021-06-26,6716953,Oxford/AstraZeneca,France
2021-06-27,6721094,Oxford/AstraZeneca,France
2021-06-28,6752101,Oxford/AstraZeneca,France
2021-06-29,6809106,Oxford/AstraZeneca,France
2021-06-30,6855067,Oxford/AstraZeneca,France
2021-07-01,6921879,Oxford/AstraZeneca,France
2021-07-02,7013667,Oxford/AstraZeneca,France
2021-07-03,7045468,Oxford/AstraZeneca,France
2021-07-04,7049841,Oxford/AstraZeneca,France
2021-07-05,7084367,Oxford/AstraZeneca,France
2021-07-06,7141417,Oxford/AstraZeneca,France
2021-07-07,7185352,Oxford/AstraZeneca,France
2021-07-08,7247235,Oxford/AstraZeneca,France
2021-07-09,7317364,Oxford/AstraZeneca,France
2021-07-10,7343042,Oxford/AstraZeneca,France
2021-07-11,7346443,Oxford/AstraZeneca,France
2021-07-12,7370995,Oxford/AstraZeneca,France
2021-07-13,7407378,Oxford/AstraZeneca,France
2021-07-14,7410206,Oxford/AstraZeneca,France
2021-07-15,7442838,Oxford/AstraZeneca,France
2021-07-16,7484297,Oxford/AstraZeneca,France
2021-07-17,7499061,Oxford/AstraZeneca,France
2021-07-18,7501892,Oxford/AstraZeneca,France
2021-07-19,7520364,Oxford/AstraZeneca,France
2021-07-20,7549386,Oxford/AstraZeneca,France
2021-07-21,7570749,Oxford/AstraZeneca,France
2021-07-22,7600387,Oxford/AstraZeneca,France
2021-07-23,7633122,Oxford/AstraZeneca,France
2021-07-24,7640940,Oxford/AstraZeneca,France
2021-07-25,7642471,Oxford/AstraZeneca,France
2021-07-26,7654050,Oxford/AstraZeneca,France
2021-07-27,7672186,Oxford/AstraZeneca,France
2021-07-28,7685270,Oxford/AstraZeneca,France
2021-07-29,7702270,Oxford/AstraZeneca,France
2021-07-30,7721522,Oxford/AstraZeneca,France
2021-07-31,7725643,Oxford/AstraZeneca,France
2021-08-01,7726204,Oxford/AstraZeneca,France
2021-08-02,7731748,Oxford/AstraZeneca,France
2021-08-03,7739801,Oxford/AstraZeneca,France
2021-08-04,7745104,Oxford/AstraZeneca,France
2021-08-05,7749246,Oxford/AstraZeneca,France
2021-08-06,7754480,Oxford/AstraZeneca,France
2021-08-07,7756594,Oxford/AstraZeneca,France
2021-08-08,7757155,Oxford/AstraZeneca,France
2021-08-09,7759942,Oxford/AstraZeneca,France
2021-08-10,7764149,Oxford/AstraZeneca,France
2021-08-11,7767106,Oxford/AstraZeneca,France
2021-08-12,7769971,Oxford/AstraZeneca,France
2021-08-13,7772477,Oxford/AstraZeneca,France
2021-08-14,7773554,Oxford/AstraZeneca,France
2021-08-15,7773747,Oxford/AstraZeneca,France
2021-08-16,7774948,Oxford/AstraZeneca,France
2021-08-17,7776600,Oxford/AstraZeneca,France
2021-08-18,7778097,Oxford/AstraZeneca,France
2021-08-19,7779669,Oxford/AstraZeneca,France
2021-08-20,7781446,Oxford/AstraZeneca,France
2021-08-21,7782101,Oxford/AstraZeneca,France
2021-08-22,7782294,Oxford/AstraZeneca,France
2021-08-23,7783329,Oxford/AstraZeneca,France
2021-08-24,7784403,Oxford/AstraZeneca,France
2021-08-25,7785350,Oxford/AstraZeneca,France
2021-08-26,7786375,Oxford/AstraZeneca,France
2021-08-27,7787484,Oxford/AstraZeneca,France
2021-08-28,7787925,Oxford/AstraZeneca,France
2021-08-29,7788103,Oxford/AstraZeneca,France
2021-08-30,7788766,Oxford/AstraZeneca,France
2021-08-31,7789577,Oxford/AstraZeneca,France
2021-09-01,7790132,Oxford/AstraZeneca,France
2021-09-02,7790853,Oxford/AstraZeneca,France
2021-09-03,7791547,Oxford/AstraZeneca,France
2021-09-04,7791868,Oxford/AstraZeneca,France
2021-09-05,7791959,Oxford/AstraZeneca,France
2021-09-06,7792432,Oxford/AstraZeneca,France
2021-09-07,7793019,Oxford/AstraZeneca,France
2021-09-08,7793458,Oxford/AstraZeneca,France
2021-09-09,7793914,Oxford/AstraZeneca,France
2021-09-10,7794411,Oxford/AstraZeneca,France
2021-09-11,7794689,Oxford/AstraZeneca,France
2021-09-12,7794757,Oxford/AstraZeneca,France
2021-09-13,7795129,Oxford/AstraZeneca,France
2021-09-14,7795462,Oxford/AstraZeneca,France
2021-09-15,7795750,Oxford/AstraZeneca,France
2021-09-16,7796125,Oxford/AstraZeneca,France
2021-09-17,7796510,Oxford/AstraZeneca,France
2021-09-18,7796696,Oxford/AstraZeneca,France
2021-09-19,7796740,Oxford/AstraZeneca,France
2021-09-20,7797002,Oxford/AstraZeneca,France
2021-09-21,7797315,Oxford/AstraZeneca,France
2021-09-22,7797579,Oxford/AstraZeneca,France
2021-09-23,7797873,Oxford/AstraZeneca,France
2021-09-24,7798209,Oxford/AstraZeneca,France
2021-09-25,7798385,Oxford/AstraZeneca,France
2021-09-26,7798434,Oxford/AstraZeneca,France
2021-09-27,7798736,Oxford/AstraZeneca,France
2021-09-28,7799020,Oxford/AstraZeneca,France
2021-09-29,7799255,Oxford/AstraZeneca,France
2021-09-30,7799473,Oxford/AstraZeneca,France
2021-10-01,7799652,Oxford/AstraZeneca,France
2021-10-02,7799742,Oxford/AstraZeneca,France
2021-10-03,7799765,Oxford/AstraZeneca,France
2021-10-04,7799934,Oxford/AstraZeneca,France
2021-10-05,7800096,Oxford/AstraZeneca,France
2021-10-06,7800274,Oxford/AstraZeneca,France
2021-10-07,7800419,Oxford/AstraZeneca,France
2021-10-08,7800580,Oxford/AstraZeneca,France
2021-10-09,7800654,Oxford/AstraZeneca,France
2021-10-10,7800669,Oxford/AstraZeneca,France
2021-10-11,7800802,Oxford/AstraZeneca,France
2021-10-12,7800912,Oxford/AstraZeneca,France
2021-10-13,7801036,Oxford/AstraZeneca,France
2021-10-14,7801187,Oxford/AstraZeneca,France
2021-10-15,7801346,Oxford/AstraZeneca,France
2021-10-16,7801427,Oxford/AstraZeneca,France
2021-10-17,7801446,Oxford/AstraZeneca,France
2021-10-18,7801579,Oxford/AstraZeneca,France
2021-10-19,7801718,Oxford/AstraZeneca,France
2021-10-20,7801846,Oxford/AstraZeneca,France
2021-10-21,7801995,Oxford/AstraZeneca,France
2021-10-22,7802133,Oxford/AstraZeneca,France
2021-10-23,7802201,Oxford/AstraZeneca,France
2021-10-24,7802217,Oxford/AstraZeneca,France
2021-10-25,7802372,Oxford/AstraZeneca,France
2021-10-26,7802508,Oxford/AstraZeneca,France
2021-10-27,7802634,Oxford/AstraZeneca,France
2021-10-28,7802798,Oxford/AstraZeneca,France
2021-10-29,7802990,Oxford/AstraZeneca,France
2021-10-30,7803080,Oxford/AstraZeneca,France
2021-10-31,7803101,Oxford/AstraZeneca,France
2021-11-01,7803114,Oxford/AstraZeneca,France
2021-11-02,7803228,Oxford/AstraZeneca,France
2021-11-03,7803357,Oxford/AstraZeneca,France
2021-11-04,7803457,Oxford/AstraZeneca,France
2021-11-05,7803619,Oxford/AstraZeneca,France
2021-11-06,7803689,Oxford/AstraZeneca,France
2021-11-07,7803708,Oxford/AstraZeneca,France
2021-11-08,7803856,Oxford/AstraZeneca,France
2021-11-09,7804021,Oxford/AstraZeneca,France
2021-11-10,7804228,Oxford/AstraZeneca,France
2021-11-11,7804278,Oxford/AstraZeneca,France
2021-11-12,7804450,Oxford/AstraZeneca,France
2021-11-13,7804540,Oxford/AstraZeneca,France
2021-11-14,7804556,Oxford/AstraZeneca,France
2021-11-15,7804761,Oxford/AstraZeneca,France
2021-11-16,7804933,Oxford/AstraZeneca,France
2021-11-17,7805122,Oxford/AstraZeneca,France
2021-11-18,7805321,Oxford/AstraZeneca,France
2021-11-19,7805580,Oxford/AstraZeneca,France
2021-11-20,7805701,Oxford/AstraZeneca,France
2021-11-21,7805727,Oxford/AstraZeneca,France
2021-11-22,7805976,Oxford/AstraZeneca,France
2021-11-23,7806218,Oxford/AstraZeneca,France
2021-11-24,7806479,Oxford/AstraZeneca,France
2021-11-25,7806781,Oxford/AstraZeneca,France
2021-11-26,7807196,Oxford/AstraZeneca,France
2021-11-27,7807391,Oxford/AstraZeneca,France
2021-11-28,7807452,Oxford/AstraZeneca,France
2021-11-29,7807810,Oxford/AstraZeneca,France
2021-11-30,7808261,Oxford/AstraZeneca,France
2021-12-01,7808751,Oxford/AstraZeneca,France
2021-12-02,7809291,Oxford/AstraZeneca,France
2021-12-03,7809908,Oxford/AstraZeneca,France
2021-12-04,7810221,Oxford/AstraZeneca,France
2021-12-05,7810307,Oxford/AstraZeneca,France
2021-12-06,7810846,Oxford/AstraZeneca,France
2021-12-07,7811484,Oxford/AstraZeneca,France
2021-12-08,7812068,Oxford/AstraZeneca,France
2021-12-09,7812698,Oxford/AstraZeneca,France
2021-12-10,7813378,Oxford/AstraZeneca,France
2021-12-11,7813782,Oxford/AstraZeneca,France
2021-12-12,7813903,Oxford/AstraZeneca,France
2021-12-13,7814529,Oxford/AstraZeneca,France
2021-12-14,7815323,Oxford/AstraZeneca,France
2021-04-23,3659,Johnson&Johnson,France
2021-04-24,5223,Johnson&Johnson,France
2021-04-25,5346,Johnson&Johnson,France
2021-04-26,8209,Johnson&Johnson,France
2021-04-27,17709,Johnson&Johnson,France
2021-04-28,27595,Johnson&Johnson,France
2021-04-29,43561,Johnson&Johnson,France
2021-04-30,62764,Johnson&Johnson,France
2021-05-01,64733,Johnson&Johnson,France
2021-05-02,65203,Johnson&Johnson,France
2021-05-03,70228,Johnson&Johnson,France
2021-05-04,78581,Johnson&Johnson,France
2021-05-05,84730,Johnson&Johnson,France
2021-05-06,96085,Johnson&Johnson,France
2021-05-07,115163,Johnson&Johnson,France
2021-05-08,117513,Johnson&Johnson,France
2021-05-09,118181,Johnson&Johnson,France
2021-05-10,125392,Johnson&Johnson,France
2021-05-11,139676,Johnson&Johnson,France
2021-05-12,149807,Johnson&Johnson,France
2021-05-13,151360,Johnson&Johnson,France
2021-05-14,159071,Johnson&Johnson,France
2021-05-15,162755,Johnson&Johnson,France
2021-05-16,163156,Johnson&Johnson,France
2021-05-17,167595,Johnson&Johnson,France
2021-05-18,176304,Johnson&Johnson,France
2021-05-19,181943,Johnson&Johnson,France
2021-05-20,191345,Johnson&Johnson,France
2021-05-21,204097,Johnson&Johnson,France
2021-05-22,209123,Johnson&Johnson,France
2021-05-23,209598,Johnson&Johnson,France
2021-05-24,210623,Johnson&Johnson,France
2021-05-25,218185,Johnson&Johnson,France
2021-05-26,225868,Johnson&Johnson,France
2021-05-27,240161,Johnson&Johnson,France
2021-05-28,266735,Johnson&Johnson,France
2021-05-29,278050,Johnson&Johnson,France
2021-05-30,278980,Johnson&Johnson,France
2021-05-31,291581,Johnson&Johnson,France
2021-06-01,311749,Johnson&Johnson,France
2021-06-02,326202,Johnson&Johnson,France
2021-06-03,345550,Johnson&Johnson,France
2021-06-04,367994,Johnson&Johnson,France
2021-06-05,377683,Johnson&Johnson,France
2021-06-06,378679,Johnson&Johnson,France
2021-06-07,387809,Johnson&Johnson,France
2021-06-08,402351,Johnson&Johnson,France
2021-06-09,414477,Johnson&Johnson,France
2021-06-10,429822,Johnson&Johnson,France
2021-06-11,446740,Johnson&Johnson,France
2021-06-12,454138,Johnson&Johnson,France
2021-06-13,455014,Johnson&Johnson,France
2021-06-14,461609,Johnson&Johnson,France
2021-06-15,472455,Johnson&Johnson,France
2021-06-16,481293,Johnson&Johnson,France
2021-06-17,492128,Johnson&Johnson,France
2021-06-18,504492,Johnson&Johnson,France
2021-06-19,510026,Johnson&Johnson,France
2021-06-20,510670,Johnson&Johnson,France
2021-06-21,515690,Johnson&Johnson,France
2021-06-22,523515,Johnson&Johnson,France
2021-06-23,530570,Johnson&Johnson,France
2021-06-24,539159,Johnson&Johnson,France
2021-06-25,549245,Johnson&Johnson,France
2021-06-26,553994,Johnson&Johnson,France
2021-06-27,554678,Johnson&Johnson,France
2021-06-28,559372,Johnson&Johnson,France
2021-06-29,566387,Johnson&Johnson,France
2021-06-30,572992,Johnson&Johnson,France
2021-07-01,581101,Johnson&Johnson,France
2021-07-02,590443,Johnson&Johnson,France
2021-07-03,595215,Johnson&Johnson,France
2021-07-04,595846,Johnson&Johnson,France
2021-07-05,600536,Johnson&Johnson,France
2021-07-06,608158,Johnson&Johnson,France
2021-07-07,615072,Johnson&Johnson,France
2021-07-08,624191,Johnson&Johnson,France
2021-07-09,634376,Johnson&Johnson,France
2021-07-10,638919,Johnson&Johnson,France
2021-07-11,639448,Johnson&Johnson,France
2021-07-12,645222,Johnson&Johnson,France
2021-07-13,659342,Johnson&Johnson,France
2021-07-14,661483,Johnson&Johnson,France
2021-07-15,679592,Johnson&Johnson,France
2021-07-16,702282,Johnson&Johnson,France
2021-07-17,711912,Johnson&Johnson,France
2021-07-18,713210,Johnson&Johnson,France
2021-07-19,726048,Johnson&Johnson,France
2021-07-20,743243,Johnson&Johnson,France
2021-07-21,758675,Johnson&Johnson,France
2021-07-22,776793,Johnson&Johnson,France
2021-07-23,797045,Johnson&Johnson,France
2021-07-24,806189,Johnson&Johnson,France
2021-07-25,807440,Johnson&Johnson,France
2021-07-26,818242,Johnson&Johnson,France
2021-07-27,832611,Johnson&Johnson,France
2021-07-28,845198,Johnson&Johnson,France
2021-07-29,859071,Johnson&Johnson,France
2021-07-30,874373,Johnson&Johnson,France
2021-07-31,881060,Johnson&Johnson,France
2021-08-01,881884,Johnson&Johnson,France
2021-08-02,889554,Johnson&Johnson,France
2021-08-03,900110,Johnson&Johnson,France
2021-08-04,909540,Johnson&Johnson,France
2021-08-05,918996,Johnson&Johnson,France
2021-08-06,928854,Johnson&Johnson,France
2021-08-07,933675,Johnson&Johnson,France
2021-08-08,934746,Johnson&Johnson,France
2021-08-09,940718,Johnson&Johnson,France
2021-08-10,949242,Johnson&Johnson,France
2021-08-11,956957,Johnson&Johnson,France
2021-08-12,965222,Johnson&Johnson,France
2021-08-13,972490,Johnson&Johnson,France
2021-08-14,976103,Johnson&Johnson,France
2021-08-15,976769,Johnson&Johnson,France
2021-08-16,980585,Johnson&Johnson,France
2021-08-17,985973,Johnson&Johnson,France
2021-08-18,990928,Johnson&Johnson,France
2021-08-19,996196,Johnson&Johnson,France
2021-08-20,1001205,Johnson&Johnson,France
2021-08-21,1003391,Johnson&Johnson,France
2021-08-22,1003745,Johnson&Johnson,France
2021-08-23,1006447,Johnson&Johnson,France
2021-08-24,1010016,Johnson&Johnson,France
2021-08-25,1013427,Johnson&Johnson,France
2021-08-26,1017022,Johnson&Johnson,France
2021-08-27,1020509,Johnson&Johnson,France
2021-08-28,1022155,Johnson&Johnson,France
2021-08-29,1022513,Johnson&Johnson,France
2021-08-30,1024413,Johnson&Johnson,France
2021-08-31,1026788,Johnson&Johnson,France
2021-09-01,1028762,Johnson&Johnson,France
2021-09-02,1031008,Johnson&Johnson,France
2021-09-03,1033338,Johnson&Johnson,France
2021-09-04,1034676,Johnson&Johnson,France
2021-09-05,1035072,Johnson&Johnson,France
2021-09-06,1036740,Johnson&Johnson,France
2021-09-07,1038337,Johnson&Johnson,France
2021-09-08,1039544,Johnson&Johnson,France
2021-09-09,1040875,Johnson&Johnson,France
2021-09-10,1042328,Johnson&Johnson,France
2021-09-11,1043037,Johnson&Johnson,France
2021-09-12,1043179,Johnson&Johnson,France
2021-09-13,1044335,Johnson&Johnson,France
2021-09-14,1045730,Johnson&Johnson,France
2021-09-15,1046731,Johnson&Johnson,France
2021-09-16,1047715,Johnson&Johnson,France
2021-09-17,1048549,Johnson&Johnson,France
2021-09-18,1048974,Johnson&Johnson,France
2021-09-19,1049141,Johnson&Johnson,France
2021-09-20,1049514,Johnson&Johnson,France
2021-09-21,1049881,Johnson&Johnson,France
2021-09-22,1050213,Johnson&Johnson,France
2021-09-23,1050622,Johnson&Johnson,France
2021-09-24,1050993,Johnson&Johnson,France
2021-09-25,1051247,Johnson&Johnson,France
2021-09-26,1051304,Johnson&Johnson,France
2021-09-27,1051536,Johnson&Johnson,France
2021-09-28,1051813,Johnson&Johnson,France
2021-09-29,1052138,Johnson&Johnson,France
2021-09-30,1052468,Johnson&Johnson,France
2021-10-01,1052832,Johnson&Johnson,France
2021-10-02,1053008,Johnson&Johnson,France
2021-10-03,1053076,Johnson&Johnson,France
2021-10-04,1053385,Johnson&Johnson,France
2021-10-05,1053610,Johnson&Johnson,France
2021-10-06,1053830,Johnson&Johnson,France
2021-10-07,1054057,Johnson&Johnson,France
2021-10-08,1054366,Johnson&Johnson,France
2021-10-09,1054530,Johnson&Johnson,France
2021-10-10,1054602,Johnson&Johnson,France
2021-10-11,1054815,Johnson&Johnson,France
2021-10-12,1054985,Johnson&Johnson,France
2021-10-13,1055177,Johnson&Johnson,France
2021-10-14,1055445,Johnson&Johnson,France
2021-10-15,1055753,Johnson&Johnson,France
2021-10-16,1055886,Johnson&Johnson,France
2021-10-17,1055944,Johnson&Johnson,France
2021-10-18,1056180,Johnson&Johnson,France
2021-10-19,1056360,Johnson&Johnson,France
2021-10-20,1056566,Johnson&Johnson,France
2021-10-21,1056766,Johnson&Johnson,France
2021-10-22,1056958,Johnson&Johnson,France
2021-10-23,1057050,Johnson&Johnson,France
2021-10-24,1057076,Johnson&Johnson,France
2021-10-25,1057232,Johnson&Johnson,France
2021-10-26,1057397,Johnson&Johnson,France
2021-10-27,1057548,Johnson&Johnson,France
2021-10-28,1057706,Johnson&Johnson,France
2021-10-29,1057888,Johnson&Johnson,France
2021-10-30,1057958,Johnson&Johnson,France
2021-10-31,1057990,Johnson&Johnson,France
2021-11-01,1058061,Johnson&Johnson,France
2021-11-02,1058168,Johnson&Johnson,France
2021-11-03,1058277,Johnson&Johnson,France
2021-11-04,1058409,Johnson&Johnson,France
2021-11-05,1058495,Johnson&Johnson,France
2021-11-06,1058557,Johnson&Johnson,France
2021-11-07,1058592,Johnson&Johnson,France
2021-11-08,1058714,Johnson&Johnson,France
2021-11-09,1058825,Johnson&Johnson,France
2021-11-10,1058916,Johnson&Johnson,France
2021-11-11,1058952,Johnson&Johnson,France
2021-11-12,1059037,Johnson&Johnson,France
2021-11-13,1059106,Johnson&Johnson,France
2021-11-14,1059136,Johnson&Johnson,France
2021-11-15,1059213,Johnson&Johnson,France
2021-11-16,1059283,Johnson&Johnson,France
2021-11-17,1059371,Johnson&Johnson,France
2021-11-18,1059465,Johnson&Johnson,France
2021-11-19,1059540,Johnson&Johnson,France
2021-11-20,1059579,Johnson&Johnson,France
2021-11-21,1059599,Johnson&Johnson,France
2021-11-22,1059687,Johnson&Johnson,France
2021-11-23,1059760,Johnson&Johnson,France
2021-11-24,1059819,Johnson&Johnson,France
2021-11-25,1059890,Johnson&Johnson,France
2021-11-26,1059985,Johnson&Johnson,France
2021-11-27,1060033,Johnson&Johnson,France
2021-11-28,1060043,Johnson&Johnson,France
2021-11-29,1060128,Johnson&Johnson,France
2021-11-30,1060192,Johnson&Johnson,France
2021-12-01,1060282,Johnson&Johnson,France
2021-12-02,1060354,Johnson&Johnson,France
2021-12-03,1060446,Johnson&Johnson,France
2021-12-04,1060532,Johnson&Johnson,France
2021-12-05,1060550,Johnson&Johnson,France
2021-12-06,1060639,Johnson&Johnson,France
2021-12-07,1060707,Johnson&Johnson,France
2021-12-08,1060772,Johnson&Johnson,France
2021-12-09,1060835,Johnson&Johnson,France
2021-12-10,1060936,Johnson&Johnson,France
2021-12-11,1060977,Johnson&Johnson,France
2021-12-12,1060989,Johnson&Johnson,France
2021-12-13,1061019,Johnson&Johnson,France
2021-12-14,1061069,Johnson&Johnson,France
