location,date,vaccine,total_vaccinations
Slovenia,2021-08-20,Moderna,184588
Slovenia,2021-08-20,Oxford/AstraZeneca,324439
Slovenia,2021-08-20,Pfizer/BioNTech,1179133
Slovenia,2021-08-27,Johnson&Johnson,97386
Slovenia,2021-08-27,Moderna,185731
Slovenia,2021-08-27,Oxford/AstraZeneca,324897
Slovenia,2021-08-27,Pfizer/BioNTech,1204916
Slovenia,2021-09-03,Johnson&Johnson,100969
Slovenia,2021-09-03,Moderna,186767
Slovenia,2021-09-03,Oxford/AstraZeneca,325626
Slovenia,2021-09-03,Pfizer/BioNTech,1225927
Slovenia,2021-09-10,Johnson&Johnson,107494
Slovenia,2021-09-10,Moderna,187868
Slovenia,2021-09-10,Oxford/AstraZeneca,325984
Slovenia,2021-09-10,Pfizer/BioNTech,1256271
Slovenia,2021-09-17,Johnson&Johnson,125708
Slovenia,2021-09-17,Moderna,190182
Slovenia,2021-09-17,Oxford/AstraZeneca,326397
Slovenia,2021-09-17,Pfizer/BioNTech,1320097
Slovenia,2021-09-24,Johnson&Johnson,133539
Slovenia,2021-09-24,Moderna,191788
Slovenia,2021-09-24,Oxford/AstraZeneca,326622
Slovenia,2021-09-24,Pfizer/BioNTech,1354682
Slovenia,2021-10-01,Johnson&Johnson,136269
Slovenia,2021-10-01,Moderna,192935
Slovenia,2021-10-01,Oxford/AstraZeneca,326735
Slovenia,2021-10-01,Pfizer/BioNTech,1384046
Slovenia,2021-10-08,Johnson&Johnson,136270
Slovenia,2021-10-08,Moderna,193809
Slovenia,2021-10-08,Oxford/AstraZeneca,326820
Slovenia,2021-10-08,Pfizer/BioNTech,1425191
Slovenia,2021-10-15,Johnson&Johnson,136281
Slovenia,2021-10-15,Moderna,194988
Slovenia,2021-10-15,Oxford/AstraZeneca,326850
Slovenia,2021-10-15,Pfizer/BioNTech,1453400
Slovenia,2021-10-22,Johnson&Johnson,136292
Slovenia,2021-10-22,Moderna,196052
Slovenia,2021-10-22,Oxford/AstraZeneca,326899
Slovenia,2021-10-22,Pfizer/BioNTech,1474153
Slovenia,2021-10-29,Johnson&Johnson,136304
Slovenia,2021-10-29,Moderna,196958
Slovenia,2021-10-29,Oxford/AstraZeneca,326935
Slovenia,2021-10-29,Pfizer/BioNTech,1494676
Slovenia,2021-11-05,Johnson&Johnson,136312
Slovenia,2021-11-05,Moderna,199332
Slovenia,2021-11-05,Oxford/AstraZeneca,326954
Slovenia,2021-11-05,Pfizer/BioNTech,1545426
Slovenia,2021-11-12,Johnson&Johnson,136315
Slovenia,2021-11-12,Moderna,204062
Slovenia,2021-11-12,Oxford/AstraZeneca,326971
Slovenia,2021-11-12,Pfizer/BioNTech,1636566
Slovenia,2021-11-19,Johnson&Johnson,136321
Slovenia,2021-11-19,Moderna,208749
Slovenia,2021-11-19,Oxford/AstraZeneca,326980
Slovenia,2021-11-19,Pfizer/BioNTech,1717050
Slovenia,2021-11-26,Johnson&Johnson,136323
Slovenia,2021-11-26,Moderna,212507
Slovenia,2021-11-26,Oxford/AstraZeneca,326990
Slovenia,2021-11-26,Pfizer/BioNTech,1776019
Slovenia,2021-12-03,Moderna,214796
Slovenia,2021-12-03,Oxford/AstraZeneca,326994
Slovenia,2021-12-03,Pfizer/BioNTech,1824255
Slovenia,2021-12-10,Johnson&Johnson,136326
Slovenia,2021-12-10,Moderna,216418
Slovenia,2021-12-10,Oxford/AstraZeneca,327000
Slovenia,2021-12-10,Pfizer/BioNTech,1862230
